18/02/2020_'10:17:22', ["'Caesar Frazier - Nova Classics 04'", "'Caesar Frazier - Funk It Down'"]
18/02/2020_'10:14:59', ["'Shawn Phillips - Spaced'", "'Prelude To A Leaving (Instrumental) (Rock)'"]
18/02/2020_'10:12:12', ["'Nick Waterhouse - Nick Waterhouse'", "'Song for Winners (Other)'"]
18/02/2020_'10:09:38', ["'Gitkin - 5 Star Motel'", "'El Millonario (World)'"]
18/02/2020_'10:03:41', ["'Fleetwood Mac'", "'Keep On Going (Cosmo Vitelli Edit)'"]
18/02/2020_'09:58:42', ["'Karma - Compacto VII FIC (1972 / RCA)'", "'Depois do Port?o (Other)'"]
18/02/2020_'09:56:12', ["'Yin Yin - The Rabbit That Hunts Tigers'", "'Kroy Wen (Alternative)'"]
18/02/2020_'09:53:07', ["'Allah-Las - Self Discovery for Social Survival'", "'Mulberry Jam'"]
18/02/2020_'09:49:00', ["'Khruangbin -  Hasta El Cielo'", "'Four of Five'"]
18/02/2020_'09:46:33', ["'Peter Brown - Rainer TrÃ¼by presents Soulgliding'", "'Without Love'"]
18/02/2020_'10:35:49', ["'Ice - Africafunk - Vol. 02'", "'Time Will Tell'"]
18/02/2020_'10:29:35', ["'Dan Boadi And The African Internationals - The Real Sound of Chicago  Beyond'", "'Play That Funky Music'"]
18/02/2020_'10:25:14', ["'The Diddys feat. Paige Douglas - Gilles Peterson Digs America Vol. 2'", "'Intergalactic Love Song'"]
18/02/2020_'10:22:15', ["'Marva Whitney (duet with James Brown) - Door To The Souk - Room 1'", "'Sunny'"]
18/02/2020_'10:57:09', ["'Victor'", "'Amerikan Dread'"]
18/02/2020_'10:53:57', ["'Johan Papaconstantino'", '"J\'sais pas"']
18/02/2020_'10:50:26', ["'Martin Mey'", "'Urban Mood (Other)'"]
18/02/2020_'10:48:24', ["'Pieces of a Man'", "'Nothing To Lose (Instr)'"]
18/02/2020_'10:44:16', ["'Cymande'", "'The Message (Funk)'"]
18/02/2020_'10:40:22', ["'The Temptations'", "'Shakey Ground (Funk)'"]
18/02/2020_'11:18:38', ["'CAMEL POWER CLUB - Baïkonour'", "'Altaïr'"]
18/02/2020_'11:14:39', ["'Never - Extraordinary Renditions'", "'The Real Thing (Electronic)'"]
18/02/2020_'11:10:46', ["'Bibio - A Mineral Love'", "'Gasoline  Mirrors (feat. Wax Stag)'"]
